Blockno,UnixTimestamp,Value_IN(ETH),Value_IN_USD,TxnFee_ETH,TxnFee_USD,HistoricalPrice_ETH,hour,dayofweek,GasEfficiency,recon_error,autoencoder_anomaly
19557350,1711930343,0.0,0.0,0.0081342058679508,25.0808846587706,3505.52,0,0,25080884.6587706,0.44532168,0
19557350,1711930343,0.1958088654704899,686.4118940841117,0.002138577,6.59405527000902,3505.52,0,0,0.0096065573997679,0.3010182,0
19557351,1711930355,0.0,0.0,0.0020783969083591,6.40849690552934,3505.52,0,0,6408496.90552934,0.2874731,0
19557352,1711930367,0.0,0.0,0.0015123402464601,4.66312654265768,3505.52,0,0,4663126.54265768,0.2951493,0
19557353,1711930379,0.0,0.0,0.0038140229565577,11.7600994383765,3505.52,0,0,11760099.4383765,0.2877368,0
19557354,1711930391,0.0,0.0,0.0027230120842101,8.39609337619559,3505.52,0,0,8396093.376195591,0.28334084,0
19557355,1711930403,1.0,3505.52,0.0101787038959182,31.3848582804084,3505.52,0,0,0.0089529822312967,0.3848815,0
19557355,1711930403,0.0,0.0,0.0028414464068725,8.76127193628565,3505.52,0,0,8761271.93628565,0.28312516,0
19557356,1711930415,0.0,0.0,0.0019066327399398,5.87888192324728,3505.52,0,0,5878881.9232472805,0.28941765,0
19557357,1711930427,0.0,0.0,0.0038342704761544,11.8225303273749,3505.52,0,0,11822530.3273749,0.28795367,0
19557358,1711930439,0.0,0.0,0.0007622255581412,2.35023450574701,3505.52,0,0,2350234.50574701,0.31104645,0
19557359,1711930451,0.0,0.0,0.0027950106350453,8.61809259510049,3505.52,0,0,8618092.59510049,0.28318962,0
19557360,1711930463,0.0,0.0,0.0020722263470704,6.38947069221807,3505.52,0,0,6389470.69221807,0.28753683,0
19557361,1711930475,0.0,0.0,0.0031535761472489,9.72368795378511,3505.52,0,0,9723687.95378511,0.28336522,0
19557362,1711930487,0.0,0.0,0.0018507121966142,5.70645738421113,3505.52,0,0,5706457.38421113,0.2901273,0
19557363,1711930499,0.677,2373.23704,0.0027029824516369,8.3343343166781,3505.52,0,0,0.0035118002006096,0.31303927,0
19557363,1711930499,0.0,0.0,0.0022868505485816,7.05123963813228,3505.52,0,0,7051239.638132281,0.28558993,0
19557365,1711930523,3.5,12269.32,0.0047187602559091,14.5497524444465,3505.52,0,0,0.0011858646154196,1.5475641,0
19557365,1711930523,0.0,0.0,0.006994596,21.5670292046459,3505.52,0,0,21567029.2046459,0.38199067,0
19557365,1711930523,0.0,0.0,0.0058224873102052,17.9529673855184,3505.52,0,0,17952967.385518398,0.3331954,0
19557365,1711930523,0.0,0.0,0.00321138,9.90191945999679,3505.52,0,0,9901919.459996792,0.28353834,0
19557366,1711930535,0.1,350.552,0.0039762610636142,12.2603419102784,3505.52,0,0,0.0349743886079783,0.29580858,0
19557366,1711930535,0.1,350.552,0.0030269729373409,9.33332157301221,3505.52,0,0,0.0266246421255265,0.29968342,0
19557366,1711930535,0.1,350.552,0.0030269729373409,9.33332157301221,3505.52,0,0,0.0266246421255265,0.29968342,0
19557366,1711930535,0.0,0.0,0.0127281066321024,39.24564727604,3505.52,0,0,39245647.27604,0.84424895,0
19557366,1711930535,0.6,2103.312,0.0023109954908975,7.12568778010809,3505.52,0,0,0.0033878415454864,0.30923256,0
19557366,1711930535,0.0,0.0,0.0053158644271767,16.3908542178647,3505.52,0,0,16390854.2178647,0.31721064,0
19557367,1711930547,0.0,0.0,0.0027648345398135,8.52504808943551,3505.52,0,0,8525048.08943551,0.28324538,0
19557368,1711930559,1.0,3505.52,0.004867079668,15.007078227405,3505.52,0,0,0.0042809849104053,0.3492949,0
19557371,1711930607,0.0,0.0,0.0004930972173504,1.52040833914178,3505.52,0,0,1520408.33914178,0.31838992,0
19557372,1711930619,0.125,438.19,0.0030821772469345,9.50353768802832,3505.52,0,0,0.0216881664719417,0.29801175,0
19557376,1711930667,0.2,701.104,0.0035104878412289,10.8241839549188,3505.52,0,0,0.0154387707665054,0.29295292,0
19557376,1711930667,0.0,0.0,0.0042514108094025,13.1087343839918,3505.52,0,0,13108734.3839918,0.29352012,0
19557378,1711930691,0.2,701.104,0.0026540422312931,8.18343279764293,3505.52,0,0,0.0116722095237949,0.29733944,0
